Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7967.2119140625,22.16,7987.208839440832,0.0,0.0,7505.880859375,21.10,7534.278357090957,0.0,0.0,7645.9052734375,21.65,7661.732986975249,0.0,0.0,7982.6708984375,22.69,7985.31924559531,0.0,0.0,99,86,0,24.07904863357544,4
2,Inferencing,7566.6025390625,21.41,7578.763259244151,0.0,0.0,7680.2412109375,21.65,7682.308020501523,0.0,0.0,7394.1005859375,20.75,7395.635977580959,0.0,0.0,7369.064453125,20.58,7374.679063363566,0.0,0.0,4,0,0,0.47776317596435547,4
3,Inferencing,6645.24609375,18.41,6677.40144985004,0.0,0.0,6483.5732421875,17.72,6518.75135100134,0.0,0.0,10178.6650390625,27.32,10353.287931376139,0.0,0.0,5594.2421875,14.96,5601.70285374716,0.0,0.0,4,0,0,0.548288106918335,4
4,Inferencing,6872.021484375,18.45,6904.214604229934,0.0,0.0,6068.0966796875,16.41,6089.7106214655105,0.0,0.0,19670.3974609375,53.46,21026.94136997363,0.0,0.0,5659.18359375,15.32,5666.0352801662975,0.0,0.0,3,1,0,0.5600302219390869,4
5,Inferencing,4568.21875,12.33,4582.083074088854,0.0,0.0,5065.74609375,13.76,5107.395445463703,0.0,0.0,5334.9375,14.68,5398.1360559832365,0.0,0.0,5978.15234375,16.64,6009.827488795632,0.0,0.0,2,2,0,0.6033952236175537,4
6,Inferencing,6000.21875,16.83,6001.063388921297,0.0,0.0,6300.24609375,17.67,6301.5049664196995,0.0,0.0,6140.4375,17.21,6141.52030782332,0.0,0.0,6173.65234375,17.25,6176.2517768861935,0.0,0.0,4,0,0,0.3821139335632324,4
7,Inferencing,5478.21875,15.17,5508.546761429148,0.0,0.0,5400.24609375,14.82,5452.107103961012,0.0,0.0,4711.9375,12.73,4756.140215963597,0.0,0.0,4315.15234375,11.47,4335.844294917787,0.0,0.0,4,0,0,0.3747894763946533,4
8,Inferencing,3793.21875,10.03,3804.6980478549885,0.0,0.0,4010.74609375,10.57,4015.202731934078,0.0,0.0,3947.4375,10.43,3957.8540670932084,0.0,0.0,4369.65234375,11.63,4379.049480793734,0.0,0.0,4,0,0,0.37628912925720215,4
9,Inferencing,4334.21875,11.63,4352.259289478461,0.0,0.0,4984.74609375,13.49,4999.033143434426,0.0,0.0,5019.4375,13.64,5025.944370604021,0.0,0.0,5274.15234375,14.37,5275.515325073336,0.0,0.0,4,0,0,0.5138778686523438,4
10,Inferencing,4763.71875,12.93,4777.760493065926,0.0,0.0,4745.74609375,12.77,4767.769157199558,0.0,0.0,4332.9375,11.57,4352.70905631266,0.0,0.0,4200.65234375,11.12,4204.328348625066,0.0,0.0,4,0,0,0.5187954902648926,4
11,Inferencing,3882.71875,10.28,3887.354227698006,0.0,0.0,4126.74609375,10.91,4134.105232366598,0.0,0.0,3707.4375,9.75,3744.4933991671355,0.0,25.0,2951.076171875,7.73,3347.6879410351808,25.0,25.0,4,0,0,0.3860335350036621,4
12,Inferencing,2546.0,6.28,2776.682094533251,25.0,50.0,2683.376953125,6.17,3051.459055788867,25.0,50.0,3347.5625,7.26,3808.5865739675987,25.0,25.0,4396.84765625,9.45,4491.595630983617,0.0,25.0,4,0,0,0.4240398406982422,4
13,Inferencing,2636.9931640625,5.63,2702.1376391924023,25.0,75.0,2112.025390625,4.49,2502.7373208012577,50.0,50.0,4882.595703125,10.78,5680.477420410456,25.0,25.0,1271.9453125,2.76,1715.9228381523803,75.0,75.0,4,0,0,0.3705472946166992,4
14,Inferencing,585.564453125,1.27,839.7518503771171,100.0,100.0,1115.65234375,2.42,1216.6448432027657,100.0,100.0,3108.3285937500004,6.75,3604.312192889458,50.0,75.0,1996.673828125,4.26,2022.0272001117767,25.0,100.0,4,0,0,0.37631797790527344,4
15,Inferencing,1700.6748046875,3.62,1713.014125851714,75.0,100.0,2050.126953125,4.29,2227.168808237484,50.0,75.0,3615.7280468749996,7.53,4861.140297130708,50.0,75.0,2756.3759765625,5.73,2801.627109997737,25.0,75.0,4,0,0,0.37647151947021484,4
16,Inferencing,1641.62890625,3.38,2123.706135441079,75.0,75.0,1225.921875,2.56,1557.1095009741566,75.0,100.0,14018.7470703125,29.68,15161.262381218312,0.0,0.0,1051.9892578125,2.24,1377.2755167036426,75.0,100.0,3,1,0,0.45897912979125977,4
17,Inferencing,630.28125,1.34,678.1309111306757,100.0,100.0,408.751953125,0.87,544.0993891060023,100.0,100.0,4937.2548828125,10.56,5536.0461832036435,0.0,25.0,437.94140625,0.95,552.0260834059918,100.0,100.0,3,1,0,0.6792004108428955,4
18,Inferencing,232.9609375,0.50,298.52402422663795,100.0,100.0,521.6220703125,1.15,654.0118061219113,100.0,100.0,4736.701171875,10.40,4855.5976139980985,0.0,0.0,246.693359375,0.55,349.72342037177145,100.0,100.0,4,0,0,0.5175623893737793,4
19,Inferencing,770.55078125,1.71,1069.8376471337463,100.0,100.0,765.10546875,1.69,919.7064111349883,100.0,100.0,16157.0576171875,35.48,17780.371318455545,0.0,0.0,854.59375,1.88,868.5612613899451,100.0,100.0,4,0,0,0.4997692108154297,4
20,Inferencing,1188.75390625,2.58,1374.337845677319,75.0,100.0,1445.158203125,3.10,1619.986701479829,75.0,100.0,14950.6171875,32.10,15040.194608297497,0.0,0.0,2983.7958984375,6.34,3019.5206899267305,0.0,75.0,3,1,0,0.567112922668457,4
21,Inferencing,2042.0400390625,4.26,2211.4435756772277,75.0,75.0,2746.34375,5.61,2989.9686040308025,50.0,50.0,12931.3583984375,26.37,13414.237932298272,0.0,0.0,5062.2099609375,10.12,5069.659849185779,0.0,0.0,2,2,0,0.5755858421325684,4
22,Inferencing,3679.416015625002,7.28,3701.646256454951,0.0,0.0,4230.366210937502,8.26,4248.207719800226,0.0,0.0,6327.420898437498,12.29,6729.1158499196035,0.0,0.0,5642.043945312502,10.82,5756.615342990806,0.0,0.0,1,3,0,0.6561641693115234,4
23,Inferencing,3647.1533203125,7.01,3783.7176667222293,0.0,50.0,3112.0927734375,6.03,3288.207665772926,0.0,75.0,18877.6572265625,37.01,20189.32101848053,0.0,0.0,4354.0703125,8.40,4518.702405327203,0.0,25.0,3,1,0,0.4600858688354492,4
24,Inferencing,4035.304687499998,7.60,4229.6362142620765,0.0,25.0,5120.748046874996,9.47,5229.511105596466,0.0,0.0,10238.641601562504,18.75,12493.289634288443,25.0,25.0,6662.993164062498,12.19,6688.263332988317,0.0,0.0,2,2,0,0.7146275043487549,4
25,Inferencing,4098.425781250002,7.54,4250.877728345272,0.0,25.0,3546.9423828125036,6.60,3595.937567633024,0.0,25.0,18859.955078124993,35.24,19144.38358851193,0.0,0.0,3845.0927734375036,7.23,3963.748639460983,0.0,25.0,3,1,0,0.4891326427459717,4
26,Inferencing,2722.959960937502,5.15,2775.3095530010346,0.0,50.0,2703.2138671875036,5.11,2791.5052892568933,0.0,75.0,3743.8847656250036,7.14,4854.214949770158,25.0,50.0,3941.2666015625036,7.28,4149.231575950436,25.0,25.0,3,1,0,0.5791456699371338,4
