Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1526.2437744140625,3.19,1997.758544921875,75.0,88.73,1577.427734375,3.30,2027.9940185546875,73.04,86.76,1739.3126220703125,3.64,2213.1669921875,67.65,84.31,1848.9127197265625,3.90,2415.281982421875,65.69,82.35,99,86,0,24.07904863357544,4
2,Training,1578.9857177734375,3.38,2136.529541015625,75.0,88.24,1613.169677734375,3.46,2122.228759765625,73.04,86.76,1770.6807861328125,3.80,2292.09765625,67.65,84.31,1855.2855224609375,4.02,2427.66064453125,65.69,82.35,4,0,0,0.47776317596435547,4
3,Training,1709.080078125,3.77,2375.954345703125,73.04,86.27,1736.8271484375,3.84,2366.71240234375,71.57,84.8,1871.1422119140625,4.13,2488.862060546875,67.16,82.84,1958.5906982421875,4.36,2613.288818359375,64.71,80.39,4,0,0,0.548288106918335,4
4,Training,1813.60595703125,4.09,2560.562255859375,72.06,84.31,1847.6983642578125,4.18,2561.89306640625,70.1,82.84,1993.0186767578125,4.50,2717.89013671875,65.2,80.88,2068.830322265625,4.69,2783.756103515625,62.75,78.43,3,1,0,0.5600302219390869,4
5,Training,1597.3902587890625,3.59,2187.9619140625,74.02,87.75,1693.600341796875,3.84,2328.374267578125,71.57,86.76,1860.298583984375,4.21,2525.21484375,67.16,84.8,1915.7926025390625,4.33,2528.984375,62.75,81.86,2,2,0,0.6033952236175537,4
6,Training,1659.9273681640625,3.77,2257.283447265625,72.06,85.78,1773.7037353515625,4.07,2420.610595703125,69.61,84.8,1947.680419921875,4.47,2636.96484375,65.2,82.84,1999.676513671875,4.61,2654.689208984375,61.76,80.39,4,0,0,0.3821139335632324,4
7,Training,1756.8468017578125,4.07,2402.754150390625,70.1,83.82,1876.2353515625,4.38,2570.03759765625,68.14,82.84,2051.535888671875,4.78,2769.185791015625,63.24,80.88,2113.5439453125,4.93,2790.8896484375,59.8,78.43,4,0,0,0.3747894763946533,4
8,Training,1842.850341796875,4.33,2516.1318359375,68.63,81.86,1959.7735595703125,4.63,2673.45654296875,66.67,80.88,2121.138427734375,4.99,2842.26171875,61.27,78.92,2174.111328125,5.12,2850.708251953125,57.84,76.47,4,0,0,0.37628912925720215,4
9,Training,1906.5233154296875,4.51,2570.580078125,66.67,79.9,2031.1634521484375,4.82,2731.022705078125,64.71,78.92,2182.866943359375,5.17,2893.489013671875,59.31,76.96,2246.12939453125,5.32,2913.70068359375,55.88,74.51,4,0,0,0.5138778686523438,4
10,Training,1958.754638671875,4.67,2629.490234375,65.69,77.94,2100.0478515625,5.03,2809.748291015625,63.24,76.96,2250.49609375,5.38,2969.400634765625,57.84,75.0,2327.31298828125,5.56,3001.593017578125,53.92,72.55,4,0,0,0.5187954902648926,4
11,Training,1999.142333984375,4.83,2686.49365234375,65.69,76.47,2151.494140625,5.21,2872.412109375,62.75,75.0,2306.70068359375,5.55,3023.627197265625,55.88,73.04,2381.641845703125,5.73,3051.621337890625,52.45,70.59,4,0,0,0.3860335350036621,4
12,Training,2057.89404296875,5.00,2735.61083984375,64.22,74.51,2218.746337890625,5.40,2927.441162109375,60.78,73.04,2361.568115234375,5.71,3065.279052734375,53.92,71.57,2422.7685546875,5.85,3084.573486328125,50.98,69.12,4,0,0,0.4240398406982422,4
