Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1274.1956787109375,2.32,1572.5687255859375,82.35,96.08,71,11,1,34.23494911193848,4
2,Training,1307.19091796875,2.50,1729.5382080078125,77.45,90.2,20,6,0,12.3399338722229,4
3,Training,1223.2139892578125,2.43,1669.200439453125,77.45,90.2,23,3,0,8.607009887695312,4
4,Training,1380.0455322265625,2.94,1878.6378173828125,71.57,85.29,25,1,0,8.095566272735596,4
5,Training,2064.619140625,4.63,2404.03271484375,47.06,71.57,23,1,2,47.76804184913635,4
6,Training,1198.4163818359375,3.03,1681.2220458984375,80.39,92.16,20,6,0,10.503078699111938,4
7,Training,1148.01220703125,2.94,1395.7374267578125,81.37,100.0,26,0,0,7.201031684875488,4
8,Training,786.3756103515625,2.00,984.659423828125,96.08,100.0,26,0,0,7.2073280811309814,4
9,Training,1105.78466796875,2.53,1376.7437744140625,85.29,97.06,26,0,0,6.797668218612671,4
10,Training,1251.5367431640625,2.67,1589.1910400390625,83.33,95.1,26,0,0,7.403818607330322,4
11,Training,946.4690551757812,1.91,1186.7674560546875,91.18,99.02,26,0,0,7.119378328323364,4
12,Training,899.6136474609375,1.79,1131.31201171875,93.14,98.04,26,0,0,6.956012487411499,4
13,Training,724.9486694335938,1.47,925.8692016601562,96.08,100.0,26,0,0,7.386562347412109,4
14,Training,794.4590454101562,1.68,1010.2252807617188,93.14,99.02,26,0,0,7.021295070648193,4
15,Training,832.8900756835938,1.73,1079.2735595703125,91.18,98.04,26,0,0,6.99763298034668,4
