Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,2811.435546875,5.45,2813.9776672664607,0.0,100.0,80,3,0,21.015929698944092,1
2,Inferencing,3866.2368359374996,7.50,3932.0841749687174,0.0,25.0,4,0,0,0.9373548030853271,1
3,Inferencing,5223.4916796875,10.37,5256.488443611056,0.0,0.0,4,0,0,1.0350267887115479,1
4,Inferencing,8480.5830078125,18.42,8626.051551929035,0.0,0.0,4,0,0,1.0597083568572998,1
5,Inferencing,7055.5869140625,14.79,7072.284255090211,0.0,0.0,3,1,0,1.002542495727539,1
6,Inferencing,5073.2021484375,10.15,5084.986880434604,0.0,0.0,2,1,1,21.334275245666504,4
7,Inferencing,1627.4638671875,3.30,1769.0075770302637,75.0,100.0,4,0,0,0.9613120555877686,4
8,Inferencing,835.7958984374982,1.63,920.6927369742855,100.0,100.0,4,0,0,0.9658479690551758,4
9,Inferencing,328.525390625,0.65,412.08878903893356,100.0,100.0,4,0,0,0.9632976055145264,4
10,Inferencing,287.5224609375,0.57,356.03105600854514,100.0,100.0,4,0,0,0.9654161930084229,4
11,Inferencing,439.7822265625,0.90,464.4833142021473,100.0,100.0,4,0,0,0.9780793190002441,4
12,Inferencing,6096.9580078125,12.68,6861.320816954715,25.0,25.0,4,0,0,1.0952131748199463,4
13,Inferencing,8236.953125,17.32,8248.313934626429,0.0,0.0,3,1,0,1.3033454418182373,4
14,Inferencing,9096.845703125,19.55,9103.907163620559,0.0,0.0,2,1,1,31.03964138031006,7
15,Inferencing,12947.4736328125,30.78,13313.033659108405,0.0,0.0,0,3,1,57.87429213523865,9
16,Inferencing,14491.890625,34.83,14497.565370911003,0.0,0.0,2,2,0,46.618377923965454,9
17,Inferencing,10270.087890625,24.08,10310.20002861601,0.0,0.0,1,1,2,99.6416974067688,15
18,Inferencing,4115.3369140625,9.43,4561.7795415994115,25.0,25.0,2,2,0,78.21818995475769,15
19,Inferencing,1246.4912109375,2.74,1289.0911402550496,100.0,100.0,3,1,0,77.44328308105469,15
20,Inferencing,2031.8017578125,4.69,2124.7999271057083,25.0,100.0,3,1,0,58.71369194984436,12
21,Inferencing,2079.40625,5.00,2284.058121669893,50.0,75.0,4,0,0,61.48977208137512,12
22,Inferencing,13093.7353515625,33.49,14087.298252747778,0.0,0.0,4,0,0,61.4859299659729,12
23,Inferencing,16368.9453125,41.49,16377.885923742286,0.0,0.0,4,0,0,61.28958320617676,12
24,Inferencing,1861.7158203125,4.74,2042.4945740243659,50.0,75.0,1,2,1,106.44651961326599,15
25,Inferencing,7727.783203125,19.73,8475.544837980684,0.0,0.0,4,0,0,75.64968061447144,15
26,Inferencing,13441.3154296875,38.50,15602.417303018918,25.0,25.0,3,1,0,79.39940690994263,15
27,Inferencing,18972.61328125,52.84,18977.222515620244,0.0,0.0,2,1,1,98.47387027740479,18
28,Inferencing,9425.8935546875,26.74,9708.759527164175,0.0,0.0,0,0,4,116.47142720222473,30
29,Inferencing,4027.646484375,11.26,6484.150449270492,75.0,75.0,2,0,2,146.62370705604553,36
30,Inferencing,17678.6181640625,47.60,17687.772579769473,0.0,0.0,3,0,1,159.4809582233429,39
31,Inferencing,15731.88671875,42.64,15811.959542246841,0.0,0.0,0,0,4,200.7577521800995,51
32,Inferencing,8346.6826171875,23.20,10057.254973551737,0.0,25.0,3,0,1,224.14766097068787,54
33,Inferencing,6715.1142578125,18.85,7459.35388805916,25.0,25.0,2,0,2,239.9416720867157,60
34,Inferencing,6062.1865234375,16.43,6557.986152810849,0.0,25.0,2,0,2,268.000412940979,66
35,Inferencing,4726.171875,12.48,6290.849355552093,50.0,50.0,2,0,2,291.9538805484772,72
36,Inferencing,10733.4609375,29.13,11222.091508520132,0.0,0.0,3,0,1,313.9107129573822,75
37,Inferencing,7225.6943359375,19.23,8278.674275413216,0.0,0.0,0,0,4,345.3909752368927,87
