Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,3924.8408203125,8.00,4047.9921875,0.0,0.0,80,3,0,21.015929698944092,1
2,Outlier,4063.376953125,8.19,4185.994140625,0.0,0.0,4,0,0,0.9373548030853271,1
3,Outlier,4558.427734375,9.13,4593.72314453125,0.0,0.0,4,0,0,1.0350267887115479,1
4,Outlier,4839.3203125,9.78,4856.6455078125,0.0,0.0,4,0,0,1.0597083568572998,1
5,Outlier,7821.6904296875,17.00,7979.0927734375,0.0,0.0,3,1,0,1.002542495727539,1
6,Outlier,7934.6826171875,17.20,7975.6181640625,0.0,0.0,2,1,1,21.334275245666504,4
7,Outlier,5817.7314453125,12.62,5853.84716796875,0.0,0.0,4,0,0,0.9613120555877686,4
8,Outlier,5379.1572265625,11.32,5433.75244140625,0.0,0.0,4,0,0,0.9658479690551758,4
9,Outlier,5227.2568359375,10.99,5272.57421875,0.0,0.0,4,0,0,0.9632976055145264,4
10,Outlier,5079.2294921875,10.67,5117.65380859375,0.0,0.0,4,0,0,0.9654161930084229,4
11,Outlier,5036.310546875,10.57,5077.03271484375,0.0,0.0,4,0,0,0.9780793190002441,4
12,Outlier,4845.07421875,10.01,4883.37646484375,0.0,0.0,4,0,0,1.0952131748199463,4
13,Outlier,7390.359375,15.49,7447.16796875,0.0,0.0,3,1,0,1.3033454418182373,4
14,Outlier,6969.3486328125,14.70,7121.13818359375,0.0,0.0,2,1,1,31.03964138031006,7
15,Outlier,3378.54296875,7.28,3954.986572265625,50.0,50.0,0,3,1,57.87429213523865,9
16,Outlier,12321.9560546875,29.38,12931.1328125,0.0,0.0,2,2,0,46.618377923965454,9
17,Outlier,10764.17578125,26.21,11773.9443359375,0.0,25.0,1,1,2,99.6416974067688,15
18,Outlier,8906.8916015625,21.61,9234.607421875,0.0,0.0,2,2,0,78.21818995475769,15
19,Outlier,7511.4892578125,18.12,7619.7880859375,0.0,0.0,3,1,0,77.44328308105469,15
20,Outlier,5985.4111328125,14.21,6019.18798828125,0.0,0.0,3,1,0,58.71369194984436,12
21,Outlier,4280.294921875,9.84,4298.28125,0.0,0.0,4,0,0,61.48977208137512,12
22,Outlier,3231.8701171875,7.45,3277.222900390625,0.0,75.0,4,0,0,61.4859299659729,12
23,Outlier,13634.0537109375,34.85,14465.2724609375,0.0,0.0,4,0,0,61.28958320617676,12
24,Outlier,10049.9609375,25.76,10540.5439453125,0.0,0.0,1,2,1,106.44651961326599,15
25,Outlier,9171.322265625,23.52,9864.4931640625,0.0,0.0,4,0,0,75.64968061447144,15
26,Outlier,9102.111328125,23.37,9885.46875,0.0,0.0,3,1,0,79.39940690994263,15
27,Outlier,16421.50390625,46.07,16902.87109375,0.0,0.0,2,1,1,98.47387027740479,18
28,Outlier,12970.96875,37.17,15176.0478515625,25.0,25.0,0,0,4,116.47142720222473,30
29,Outlier,15596.34375,44.71,16284.8447265625,0.0,0.0,2,0,2,146.62370705604553,36
30,Outlier,16424.68359375,46.92,16826.130859375,0.0,0.0,3,0,1,159.4809582233429,39
31,Outlier,9637.11328125,27.21,11647.4853515625,0.0,25.0,0,0,4,200.7577521800995,51
32,Outlier,15904.607421875,43.39,15952.3359375,0.0,0.0,3,0,1,224.14766097068787,54
33,Outlier,12320.154296875,33.65,13273.5712890625,0.0,0.0,2,0,2,239.9416720867157,60
34,Outlier,13615.6474609375,37.33,13875.880859375,0.0,0.0,2,0,2,268.000412940979,66
35,Outlier,13615.841796875,37.33,13876.0751953125,0.0,0.0,2,0,2,291.9538805484772,72
36,Outlier,13822.5009765625,37.43,14029.9912109375,0.0,0.0,3,0,1,313.9107129573822,75
37,Outlier,15034.4384765625,40.80,15098.8798828125,0.0,0.0,0,0,4,345.3909752368927,87
