Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1281.56201171875,2.30,1526.656982421875,78.43,99.02,80,3,0,21.015929698944092,1
2,Training,1317.972412109375,2.37,1531.492431640625,73.53,100.0,4,0,0,0.9373548030853271,1
3,Training,1355.5455322265625,2.46,1576.298828125,72.55,99.02,4,0,0,1.0350267887115479,1
4,Training,1388.36279296875,2.54,1640.9913330078125,74.51,97.06,4,0,0,1.0597083568572998,1
5,Training,1430.1708984375,2.65,1742.7459716796875,77.45,92.16,3,1,0,1.002542495727539,1
6,Training,1456.7203369140625,2.74,1844.564208984375,77.45,91.18,2,1,1,21.334275245666504,4
7,Training,958.3391723632812,1.80,1299.885498046875,85.29,97.06,4,0,0,0.9613120555877686,4
8,Training,856.1242065429688,1.63,1169.2978515625,90.2,98.04,4,0,0,0.9658479690551758,4
9,Training,806.341064453125,1.53,1090.984619140625,92.16,97.06,4,0,0,0.9632976055145264,4
10,Training,739.39794921875,1.41,1011.834716796875,95.1,97.06,4,0,0,0.9654161930084229,4
11,Training,668.6596069335938,1.28,927.3435668945312,96.08,98.04,4,0,0,0.9780793190002441,4
12,Training,616.763427734375,1.19,859.6167602539062,96.08,99.02,4,0,0,1.0952131748199463,4
13,Training,713.8367309570312,1.39,1105.5936279296875,93.14,96.08,3,1,0,1.3033454418182373,4
14,Training,688.003662109375,1.36,1092.931396484375,95.1,97.06,2,1,1,31.03964138031006,7
15,Training,802.7872314453125,1.60,1184.3944091796875,90.2,95.1,0,3,1,57.87429213523865,9
16,Training,786.7962036132812,1.58,1143.23974609375,92.16,98.04,2,2,0,46.618377923965454,9
17,Training,735.0143432617188,1.49,1017.8070678710938,95.1,99.02,1,1,2,99.6416974067688,15
18,Training,823.3837280273438,1.72,1175.7572021484375,91.18,96.08,2,2,0,78.21818995475769,15
19,Training,725.92138671875,1.52,1069.7900390625,94.12,97.06,3,1,0,77.44328308105469,15
20,Training,660.1509399414062,1.39,968.9459228515625,95.1,97.06,3,1,0,58.71369194984436,12
21,Training,581.9572143554688,1.24,809.9351196289062,95.1,100.0,4,0,0,61.48977208137512,12
22,Training,495.0682373046875,1.06,687.0764770507812,98.04,100.0,4,0,0,61.4859299659729,12
23,Training,493.7275085449219,1.06,745.1974487304688,96.08,98.04,4,0,0,61.28958320617676,12
24,Training,451.04180908203125,0.97,611.211669921875,97.06,100.0,1,2,1,106.44651961326599,15
25,Training,443.7367858886719,0.97,608.71044921875,99.02,100.0,4,0,0,75.64968061447144,15
26,Training,519.4703369140625,1.17,804.8414916992188,96.08,99.02,3,1,0,79.39940690994263,15
27,Training,608.3417358398438,1.41,1013.3121948242188,91.18,97.06,2,1,1,98.47387027740479,18
28,Training,601.9588623046875,1.40,1012.4094848632812,91.18,97.06,0,0,4,116.47142720222473,30
29,Training,645.7897338867188,1.53,1110.673583984375,90.2,96.08,2,0,2,146.62370705604553,36
30,Training,675.3794555664062,1.62,1124.5509033203125,90.2,96.08,3,0,1,159.4809582233429,39
31,Training,635.5551147460938,1.53,1101.1895751953125,90.2,96.08,0,0,4,200.7577521800995,51
32,Training,759.196533203125,1.87,1234.0374755859375,89.22,94.12,3,0,1,224.14766097068787,54
33,Training,764.7120361328125,1.92,1293.185546875,86.27,93.14,2,0,2,239.9416720867157,60
34,Training,825.1549682617188,2.09,1344.67626953125,85.29,93.14,2,0,2,268.000412940979,66
35,Training,880.5117797851562,2.25,1439.300048828125,83.33,92.16,2,0,2,291.9538805484772,72
36,Training,938.9126586914062,2.41,1499.9517822265625,82.35,92.16,3,0,1,313.9107129573822,75
37,Training,918.5813598632812,2.37,1493.9326171875,82.35,92.16,0,0,4,345.3909752368927,87
