Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1434.25,2.62,1745.81,73.64,95.45,82,1,0,20.26456356048584,1
2,Inferencing,1513.19,2.78,1844.37,68.18,92.73,4,0,0,0.9605293273925781,1
3,Inferencing,1614.88,2.99,2021.76,67.27,91.82,4,0,0,0.9658136367797852,1
4,Inferencing,1774.56,3.39,2477.38,67.27,90.0,4,0,0,0.966285228729248,1
5,Inferencing,1866.59,3.61,2633.4,71.82,85.45,4,0,0,0.9625186920166016,1
6,Inferencing,1811.89,3.51,2499.61,69.09,84.55,1,3,0,1.4111769199371338,1
7,Inferencing,1807.85,3.51,2421.73,66.36,80.0,4,0,0,0.9581315517425537,1
8,Inferencing,1702.96,3.29,2181.48,67.27,86.36,4,0,0,0.9667558670043945,1
9,Inferencing,1541.83,2.98,1956.82,73.64,87.27,4,0,0,0.9602901935577393,1
10,Inferencing,1298.47,2.52,1742.86,81.82,91.82,4,0,0,0.9532349109649658,1
11,Inferencing,1189.9,2.32,1656.38,85.45,92.73,4,0,0,0.9659066200256348,1
12,Inferencing,1134.85,2.23,1601.08,85.45,93.64,4,0,0,1.1052343845367432,1
13,Inferencing,1139.95,2.26,1614.41,83.64,92.73,4,0,0,0.9546823501586914,1
14,Inferencing,1147.27,2.30,1629.27,81.82,90.91,4,0,0,0.952589750289917,1
15,Inferencing,1391.67,2.90,2226.26,80.91,90.91,4,0,0,0.9711709022521973,1
16,Inferencing,1652.27,3.54,2698.86,77.27,88.18,4,0,0,0.9593789577484131,1
17,Inferencing,1379.95,2.94,2062.81,80.0,88.18,2,2,0,2.7810354232788086,1
18,Inferencing,1036.78,2.17,1465.36,89.09,95.45,4,0,0,1.1148922443389893,1
19,Inferencing,968.53,2.05,1382.79,90.91,95.45,4,0,0,0.9878158569335938,1
20,Inferencing,922.84,1.97,1361.16,91.82,95.45,4,0,0,0.9537868499755859,1
21,Inferencing,855.04,1.83,1259.99,94.55,95.45,4,0,0,0.9556260108947754,1
22,Inferencing,808.51,1.75,1137.81,95.45,96.36,4,0,0,0.9643814563751221,1
23,Inferencing,773.2,1.69,1085.17,95.45,96.36,4,0,0,0.9690139293670654,1
24,Inferencing,771.99,1.71,1084.64,95.45,96.36,4,0,0,0.9561357498168945,1
25,Inferencing,769.08,1.71,1076.9,94.55,97.27,4,0,0,1.119492769241333,1
26,Inferencing,789.19,1.82,1175.68,92.73,94.55,4,0,0,0.9767417907714844,1
27,Inferencing,732.87,1.69,1082.06,93.64,95.45,4,0,0,0.9715099334716797,1
28,Inferencing,749.65,1.75,1082.64,92.73,95.45,4,0,0,0.9640541076660156,1
29,Inferencing,748.53,1.78,1074.81,92.73,96.36,4,0,0,0.9644875526428223,1
30,Inferencing,727.64,1.74,1023.26,95.45,96.36,4,0,0,0.9551799297332764,1
31,Inferencing,676.75,1.64,949.38,95.45,97.27,4,0,0,1.1081130504608154,1
32,Inferencing,719.51,1.78,1071.65,94.55,95.45,4,0,0,0.9751608371734619,1
33,Inferencing,764.29,1.93,1123.61,92.73,94.55,4,0,0,0.9528594017028809,1
34,Inferencing,797.78,2.02,1134.37,91.82,96.36,4,0,0,0.9536623954772949,1
35,Inferencing,923.27,2.37,1475.25,88.18,92.73,4,0,0,0.967789888381958,1
36,Inferencing,1091.94,2.83,1766.7,85.45,91.82,4,0,0,0.9569189548492432,1
37,Inferencing,1161.36,2.99,1732.3,81.82,90.91,4,0,0,0.9651196002960205,1
38,Inferencing,1134.41,2.92,1589.34,79.09,90.91,4,0,0,1.1133525371551514,1
39,Inferencing,1036.44,2.65,1375.36,82.73,96.36,4,0,0,0.9488928318023682,1
40,Inferencing,1008.33,2.57,1336.26,81.82,97.27,4,0,0,0.9547772407531738,1
41,Inferencing,981.33,2.50,1273.23,85.45,99.09,4,0,0,0.9578118324279785,1
42,Inferencing,961.42,2.43,1250.65,83.64,99.09,4,0,0,0.9582977294921875,1
