Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,3925.26,8.00,4045.11,0.0,0.0,82,1,0,20.26456356048584,1
2,Outlier,4108.78,8.28,4228.43,0.0,0.0,4,0,0,0.9605293273925781,1
3,Outlier,4560.81,9.13,4595.39,0.0,0.0,4,0,0,0.9658136367797852,1
4,Outlier,4910.24,9.93,4928.34,0.0,0.0,4,0,0,0.966285228729248,1
5,Outlier,7806.76,16.96,7965.0,0.0,0.0,4,0,0,0.9625186920166016,1
6,Outlier,7540.34,16.45,7559.07,0.0,0.0,1,3,0,1.4111769199371338,1
7,Outlier,6691.91,14.61,6719.05,0.0,0.0,4,0,0,0.9581315517425537,1
8,Outlier,5893.96,12.87,5935.61,0.0,0.0,4,0,0,0.9667558670043945,1
9,Outlier,5441.74,11.92,5454.7,0.0,0.0,4,0,0,0.9602901935577393,1
10,Outlier,5190.73,11.05,5199.06,0.0,0.0,4,0,0,0.9532349109649658,1
11,Outlier,5272.45,11.20,5285.36,0.0,0.0,4,0,0,0.9659066200256348,1
12,Outlier,5103.17,10.84,5132.17,0.0,0.0,4,0,0,1.1052343845367432,1
13,Outlier,4950.67,10.53,4998.27,0.0,0.0,4,0,0,0.9546823501586914,1
14,Outlier,4790.46,10.27,4875.78,0.0,0.0,4,0,0,0.952589750289917,1
15,Outlier,4666.08,9.99,4764.89,0.0,0.0,4,0,0,0.9711709022521973,1
16,Outlier,8188.94,19.37,8306.27,0.0,0.0,4,0,0,0.9593789577484131,1
17,Outlier,6208.67,15.12,6246.01,0.0,0.0,2,2,0,2.7810354232788086,1
18,Outlier,5061.22,11.78,5173.32,0.0,0.0,4,0,0,1.1148922443389893,1
19,Outlier,4926.8,11.49,4999.87,0.0,0.0,4,0,0,0.9878158569335938,1
20,Outlier,5124.58,11.94,5204.55,0.0,0.0,4,0,0,0.9537868499755859,1
21,Outlier,4783.96,11.17,4826.16,0.0,0.0,4,0,0,0.9556260108947754,1
22,Outlier,4143.46,9.82,4185.71,0.0,0.0,4,0,0,0.9643814563751221,1
23,Outlier,4009.45,9.50,4048.32,0.0,0.0,4,0,0,0.9690139293670654,1
24,Outlier,3891.07,9.22,3930.16,0.0,0.0,4,0,0,0.9561357498168945,1
25,Outlier,3809.1,9.03,3844.61,0.0,25.0,4,0,0,1.119492769241333,1
26,Outlier,3803.57,9.00,3824.2,0.0,0.0,4,0,0,0.9767417907714844,1
27,Outlier,3762.17,9.44,3767.07,0.0,0.0,4,0,0,0.9715099334716797,1
28,Outlier,3615.93,9.06,3622.38,0.0,0.0,4,0,0,0.9640541076660156,1
29,Outlier,3532.05,8.33,3537.57,0.0,0.0,4,0,0,0.9644875526428223,1
30,Outlier,3523.22,8.30,3527.32,0.0,0.0,4,0,0,0.9551799297332764,1
31,Outlier,3244.18,8.10,3260.11,0.0,25.0,4,0,0,1.1081130504608154,1
32,Outlier,3202.49,8.00,3217.46,0.0,25.0,4,0,0,0.9751608371734619,1
33,Outlier,3659.81,9.53,3679.52,0.0,0.0,4,0,0,0.9528594017028809,1
34,Outlier,3466.34,9.01,3477.24,0.0,0.0,4,0,0,0.9536623954772949,1
35,Outlier,3322.63,8.60,3327.25,0.0,0.0,4,0,0,0.967789888381958,1
36,Outlier,4823.38,12.92,4960.41,0.0,0.0,4,0,0,0.9569189548492432,1
37,Outlier,5135.02,13.88,5149.86,0.0,0.0,4,0,0,0.9651196002960205,1
38,Outlier,4110.69,11.04,4120.8,0.0,0.0,4,0,0,1.1133525371551514,1
39,Outlier,3322.7,8.94,3330.01,0.0,0.0,4,0,0,0.9488928318023682,1
40,Outlier,3107.95,8.36,3115.51,0.0,25.0,4,0,0,0.9547772407531738,1
41,Outlier,2896.73,7.79,2904.22,0.0,75.0,4,0,0,0.9578118324279785,1
42,Outlier,2764.84,7.44,2773.29,0.0,75.0,4,0,0,0.9582977294921875,1
43,Outlier,2766.2,7.51,2773.32,0.0,75.0,4,0,0,0.9439876079559326,1
44,Outlier,2692.26,7.31,2697.92,0.0,100.0,4,0,0,0.9769783020019531,1
45,Outlier,2598.93,6.78,2601.88,0.0,100.0,4,0,0,1.0519487857818604,1
46,Outlier,2542.66,6.60,2546.98,0.0,100.0,4,0,0,1.0094425678253174,1
47,Outlier,2706.59,6.37,2715.08,0.0,75.0,4,0,0,0.9495165348052979,1
48,Outlier,2731.54,6.43,2741.41,0.0,75.0,4,0,0,0.9445474147796631,1
49,Outlier,3339.09,7.08,3367.36,0.0,25.0,4,0,0,0.9429106712341309,1
50,Outlier,5097.87,9.79,5204.73,0.0,0.0,4,0,0,0.9445405006408691,1
51,Outlier,5121.59,9.79,5158.03,0.0,0.0,4,0,0,1.104680061340332,1
52,Outlier,6430.52,11.80,6488.74,0.0,0.0,4,0,0,0.9666118621826172,1
53,Outlier,4541.56,8.31,4580.05,0.0,0.0,4,0,0,0.9615128040313721,1
54,Outlier,3977.06,7.40,3996.66,0.0,0.0,4,0,0,0.9681520462036133,1
55,Outlier,3584.18,7.39,3588.27,0.0,0.0,4,0,0,0.9652125835418701,1
56,Outlier,3439.19,7.16,3459.19,0.0,25.0,4,0,0,0.9732680320739746,1
57,Outlier,3370.8,7.07,3417.58,0.0,25.0,4,0,0,1.07753586769104,1
58,Outlier,3401.23,7.38,3472.68,0.0,50.0,4,0,0,1.0153076648712158,1
59,Outlier,3436.87,7.48,3521.19,0.0,50.0,4,0,0,0.9617669582366943,1
60,Outlier,3951.83,8.27,3952.56,0.0,0.0,4,0,0,0.9533474445343018,1
61,Outlier,3879.95,8.14,3884.77,0.0,0.0,4,0,0,0.9582219123840332,1
62,Outlier,3734.63,7.86,3745.7,0.0,0.0,4,0,0,0.9595892429351807,1
63,Outlier,3452.8,7.25,3459.83,0.0,0.0,4,0,0,1.0802690982818604,1
64,Outlier,3177.34,6.66,3182.27,0.0,0.0,4,0,0,0.9594731330871582,1
65,Outlier,2820.55,5.66,2821.18,0.0,100.0,4,0,0,0.9590466022491455,1
66,Outlier,2659.58,5.17,2663.31,0.0,100.0,4,0,0,0.9782755374908447,1
67,Outlier,2652.6,5.16,2655.92,0.0,100.0,4,0,0,0.9671876430511475,1
68,Outlier,2607.96,5.07,2611.55,0.0,100.0,4,0,0,1.0857150554656982,1
69,Outlier,2584.09,4.92,2587.81,0.0,100.0,4,0,0,0.9760417938232422,1
70,Outlier,2548.61,4.95,2552.89,0.0,100.0,4,0,0,0.9737141132354736,1
71,Outlier,2562.1,4.88,2566.15,0.0,100.0,4,0,0,0.9672391414642334,1
72,Outlier,2563.02,4.88,2567.05,0.0,100.0,4,0,0,0.9596283435821533,1
73,Outlier,2562.32,4.88,2566.67,0.0,100.0,4,0,0,0.9585409164428711,1
74,Outlier,2548.47,4.85,2552.6,0.0,100.0,4,0,0,1.0057575702667236,1
75,Outlier,2534.37,4.82,2538.72,0.0,100.0,4,0,0,1.0849649906158447,1
76,Outlier,2527.18,4.80,2531.98,0.0,100.0,4,0,0,0.9596259593963623,1
77,Outlier,2527.55,4.85,2531.85,0.0,100.0,4,0,0,0.9664602279663086,1
78,Outlier,2545.17,4.72,2552.37,0.0,100.0,4,0,0,0.9614503383636475,1
79,Outlier,2429.78,4.62,2442.8,0.0,100.0,4,0,0,0.9548635482788086,1
80,Outlier,2483.7,4.73,2497.45,0.0,100.0,4,0,0,0.956428050994873,1
81,Outlier,2394.03,4.67,2431.43,25.0,100.0,4,0,0,0.9523880481719971,1
82,Outlier,2433.93,4.75,2469.09,25.0,100.0,4,0,0,0.9963397979736328,1
83,Outlier,2802.32,5.87,2843.0,0.0,75.0,4,0,0,1.0359289646148682,1
84,Outlier,3264.93,7.39,3308.24,0.0,50.0,4,0,0,0.9606754779815674,1
85,Outlier,3311.91,7.49,3353.9,0.0,50.0,4,0,0,0.961906909942627,1
86,Outlier,3502.29,8.09,3536.61,0.0,25.0,4,0,0,0.9586279392242432,1
87,Outlier,3866.75,8.93,3901.89,0.0,0.0,4,0,0,0.9680101871490479,1
88,Outlier,5065.86,10.50,5092.72,0.0,0.0,4,0,0,0.9594030380249023,1
89,Outlier,5114.32,9.84,5135.8,0.0,0.0,4,0,0,0.9620048999786377,1
90,Outlier,4676.52,8.96,4678.8,0.0,0.0,4,0,0,1.0612432956695557,1
91,Outlier,3088.22,5.93,3093.03,0.0,25.0,4,0,0,0.9549071788787842,1
92,Outlier,3297.08,6.18,3382.17,0.0,50.0,4,0,0,0.9629240036010742,1
