Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1282.18,2.30,1527.27,79.41,99.02,82,1,0,20.26456356048584,1
2,Training,1317.48,2.38,1532.42,73.53,100.0,4,0,0,0.9605293273925781,1
3,Training,1357.43,2.46,1578.62,72.55,99.02,4,0,0,0.9658136367797852,1
4,Training,1385.64,2.53,1642.37,72.55,97.06,4,0,0,0.966285228729248,1
5,Training,1430.6,2.65,1742.27,77.45,92.16,4,0,0,0.9625186920166016,1
6,Training,1490.16,2.80,1942.03,74.51,91.18,1,3,0,1.4111769199371338,1
7,Training,1508.35,2.85,1926.72,71.57,86.27,4,0,0,0.9581315517425537,1
8,Training,1518.25,2.88,1884.19,70.59,89.22,4,0,0,0.9667558670043945,1
9,Training,1354.36,2.56,1650.88,78.43,91.18,4,0,0,0.9602901935577393,1
10,Training,1136.93,2.16,1456.81,84.31,95.1,4,0,0,0.9532349109649658,1
11,Training,1004.4,1.92,1313.49,90.2,96.08,4,0,0,0.9659066200256348,1
12,Training,931.42,1.79,1228.18,91.18,97.06,4,0,0,1.1052343845367432,1
13,Training,917.39,1.78,1212.21,90.2,97.06,4,0,0,0.9546823501586914,1
14,Training,919.8,1.80,1223.57,88.24,97.06,4,0,0,0.952589750289917,1
15,Training,999.99,1.98,1298.74,87.25,98.04,4,0,0,0.9711709022521973,1
16,Training,1119.59,2.23,1475.2,83.33,95.1,4,0,0,0.9593789577484131,1
17,Training,1109.04,2.26,1603.96,86.27,94.12,2,2,0,2.7810354232788086,1
18,Training,871.7,1.76,1097.24,92.16,99.02,4,0,0,1.1148922443389893,1
19,Training,774.08,1.59,959.53,97.06,99.02,4,0,0,0.9878158569335938,1
20,Training,761.81,1.58,952.34,95.1,99.02,4,0,0,0.9537868499755859,1
21,Training,721.9,1.51,890.05,98.04,99.02,4,0,0,0.9556260108947754,1
22,Training,661.95,1.39,803.39,99.02,100.0,4,0,0,0.9643814563751221,1
23,Training,641.78,1.36,771.88,99.02,100.0,4,0,0,0.9690139293670654,1
24,Training,623.54,1.34,747.9,100.0,100.0,4,0,0,0.9561357498168945,1
25,Training,631.51,1.37,775.2,99.02,100.0,4,0,0,1.119492769241333,1
26,Training,583.8,1.27,727.2,99.02,100.0,4,0,0,0.9767417907714844,1
27,Training,626.04,1.40,833.69,97.06,99.02,4,0,0,0.9715099334716797,1
28,Training,607.52,1.36,803.75,97.06,99.02,4,0,0,0.9640541076660156,1
29,Training,589.38,1.37,770.68,98.04,100.0,4,0,0,0.9644875526428223,1
30,Training,616.26,1.47,784.11,99.02,100.0,4,0,0,0.9551799297332764,1
31,Training,575.34,1.38,725.15,99.02,100.0,4,0,0,1.1081130504608154,1
32,Training,552.6,1.34,691.91,100.0,100.0,4,0,0,0.9751608371734619,1
33,Training,592.56,1.46,789.45,98.04,99.02,4,0,0,0.9528594017028809,1
34,Training,652.19,1.63,873.43,97.06,100.0,4,0,0,0.9536623954772949,1
35,Training,665.62,1.69,890.04,95.1,99.02,4,0,0,0.967789888381958,1
36,Training,759.28,1.92,1026.2,92.16,99.02,4,0,0,0.9569189548492432,1
37,Training,902.77,2.29,1265.98,88.24,97.06,4,0,0,0.9651196002960205,1
38,Training,935.14,2.38,1276.62,85.29,96.08,4,0,0,1.1133525371551514,1
39,Training,950.84,2.43,1245.2,85.29,100.0,4,0,0,0.9488928318023682,1
40,Training,919.61,2.35,1205.55,85.29,100.0,4,0,0,0.9547772407531738,1
41,Training,920.71,2.33,1182.25,88.24,100.0,4,0,0,0.9578118324279785,1
42,Training,868.72,2.21,1124.28,88.24,100.0,4,0,0,0.9582977294921875,1
43,Training,831.84,2.11,1094.86,88.24,100.0,4,0,0,0.9439876079559326,1
44,Training,811.41,2.05,1075.22,87.25,100.0,4,0,0,0.9769783020019531,1
45,Training,788.48,2.00,1043.81,90.2,100.0,4,0,0,1.0519487857818604,1
46,Training,810.04,2.03,1035.65,94.12,100.0,4,0,0,1.0094425678253174,1
47,Training,809.43,2.04,1013.07,94.12,100.0,4,0,0,0.9495165348052979,1
48,Training,796.66,2.00,994.17,94.12,100.0,4,0,0,0.9445474147796631,1
49,Training,856.26,2.13,1072.08,93.14,100.0,4,0,0,0.9429106712341309,1
50,Training,949.59,2.33,1235.04,88.24,98.04,4,0,0,0.9445405006408691,1
51,Training,1079.46,2.58,1412.78,83.33,94.12,4,0,0,1.104680061340332,1
52,Training,1237.6,2.86,1597.18,79.41,94.12,4,0,0,0.9666118621826172,1
53,Training,1294.87,2.94,1612.25,78.43,91.18,4,0,0,0.9615128040313721,1
54,Training,1192.69,2.70,1471.08,78.43,96.08,4,0,0,0.9681520462036133,1
55,Training,1092.88,2.45,1331.76,80.39,100.0,4,0,0,0.9652125835418701,1
56,Training,1004.67,2.26,1226.89,85.29,100.0,4,0,0,0.9732680320739746,1
57,Training,895.62,2.01,1119.56,90.2,100.0,4,0,0,1.07753586769104,1
58,Training,848.91,1.87,1046.39,98.04,100.0,4,0,0,1.0153076648712158,1
59,Training,850.61,1.86,1024.43,98.04,100.0,4,0,0,0.9617669582366943,1
60,Training,852.12,1.81,1034.92,96.08,100.0,4,0,0,0.9533474445343018,1
61,Training,844.5,1.78,1020.35,96.08,100.0,4,0,0,0.9582219123840332,1
62,Training,871.16,1.82,1060.06,94.12,100.0,4,0,0,0.9595892429351807,1
63,Training,830.03,1.71,1021.77,96.08,100.0,4,0,0,1.0802690982818604,1
64,Training,860.36,1.76,1085.3,93.14,100.0,4,0,0,0.9594731330871582,1
